,partid,gamble_lab,samplesize,switchfreq,switchcount,decision,group,domain,session,switch_grp,pairtype,ev_diff,L_id,L_ev,L_ev_var,H_id,H_ev,H_ev_var
718,9,S3G1,10,0.0,0,L,old,gain,3,rare,HH-LL,0.927368421053,28.0,5.01842105263,29.693877551,23.0,5.94578947368,67.270459699
719,9,S3G2,8,0.0,0,L,old,gain,3,rare,HL-LH,1.02105263158,27.0,4.96947368421,61.6334776335,33.0,5.99052631579,14.693877551
720,9,S3G3,12,0.09090909090909091,1,L,old,loss,3,rare,HH-LL,1.15157894737,15.0,-5.96,10.7342815914,7.0,-4.8084210526,74.4423830138
721,9,S3G4,16,0.06666666666666667,1,H,old,loss,3,rare,HL-LH,1.07789473684,2.0,-5.9263157894,74.1430632859,20.0,-4.8484210526,15.6668728097
722,9,S4G1,12,0.16666666666666666,2,H,old,gain,4,rare,HH-LL,1.02105263158,30.0,4.81684210526,12.7280972995,27.0,5.83789473684,79.530818388
723,9,S4G2,8,0.14285714285714285,1,L,old,gain,4,rare,HL-LH,0.823157894737,27.0,5.13684210526,60.1937744795,37.0,5.96,18.9478787879
724,9,S4G3,16,0.0625,1,H,old,loss,4,rare,HH-LL,0.981052631579,10.0,-6.11789473684,25.5788497217,2.0,-5.13684210526,60.1937744795
725,9,S4G4,13,0.08333333333333333,1,H,old,loss,4,rare,HL-LH,1.07789473684,14.0,-5.907368421,68.1502782931,20.0,-4.8294736842,10.7689136261
726,9,S5G1,21,0.15789473684210525,3,H,old,gain,5,rare,HH-LL,1.13315789474,37.0,4.89684210526,24.5104102247,23.0,6.03,67.4916512059
727,9,S5G2,18,0.058823529411764705,1,L,old,gain,5,rare,HL-LH,0.737894736842,24.0,5.19578947368,77.5289631004,33.0,5.93368421053,16.8831168831
728,9,S5G3,1,0.0,0,L,old,loss,5,rare,HH-LL,0.757368421053,11.0,-5.88631578947,27.3873428159,7.0,-5.12894736842,77.8738691353
729,9,S5G4,21,0.047619047619047616,1,L,old,loss,5,rare,HL-LH,0.824736842105,1.0,-5.81842105263,60.8423005566,20.0,-4.99368421053,16.9235209235
730,9,S6G1,12,0.09090909090909091,1,L,old,gain,6,rare,HH-LL,0.987894736842,31.0,5.09631578947,11.5194805195,23.0,6.08421052632,66.4897959184
731,9,S6G2,11,0.1,1,H,old,gain,6,rare,HL-LH,0.908421052632,24.0,5.12315789474,77.5289631004,33.0,6.03157894737,13.5881261596
732,9,S6G3,6,0.0,0,L,old,loss,6,rare,HH-LL,0.776315789474,16.0,-5.83947368421,22.9851576994,14.0,-5.06315789474,61.345289631
733,9,S6G4,13,0.07692307692307693,1,H,old,loss,6,rare,HL-LH,0.932631578947,2.0,-5.83789473684,79.530818388,17.0,-4.90526315789,26.5565862709
734,9,S7G1,13,0.09090909090909091,1,L,old,gain,7,rare,HH-LL,0.843684210526,38.0,5.17105263158,29.2504638219,27.0,6.01473684211,79.530818388
735,9,S7G2,11,0.09090909090909091,1,H,old,gain,7,rare,HL-LH,1.03526315789,24.0,4.97789473684,74.4423830138,37.0,6.01315789474,21.6810966811
736,9,S7G3,3,0.3333333333333333,1,H,old,loss,7,rare,HH-LL,0.987368421053,9.0,-6.15789473684,29.9525870954,7.0,-5.17052631579,76.4021851165
737,9,S7G4,16,0.0,0,H,old,loss,7,rare,HL-LH,0.869473684211,2.0,-5.96421052632,79.530818388,10.0,-5.09473684211,10.8998144712
738,9,S8G1,23,0.047619047619047616,1,H,old,gain,8,rare,HH-LL,1.08842105263,37.0,4.87052631579,23.8014842301,29.0,5.95894736842,60.0463821892
739,9,S8G2,42,0.075,3,H,old,gain,8,rare,HL-LH,1.20736842105,24.0,4.91052631579,73.6427540713,35.0,6.11789473684,23.6866625438
740,9,S8G3,16,0.0625,1,H,old,loss,8,rare,HH-LL,0.807368421053,22.0,-5.96,18.9478787879,2.0,-5.15263157895,70.0727961288
741,9,S8G4,14,0.07142857142857142,1,H,old,loss,8,rare,HL-LH,0.935263157895,14.0,-6.03,67.4916512059,20.0,-5.09473684211,18.1504844362
742,9,S9G1,14,0.0,0,H,old,gain,9,rare,HH-LL,1.18210526316,33.0,4.98,20.3562152134,23.0,6.16210526316,65.5852401567
743,9,S9G2,14,0.07142857142857142,1,L,old,gain,9,rare,HL-LH,0.825789473684,23.0,5.06473684211,60.7955060812,28.0,5.89052631579,28.882704597
744,9,S9G3,19,0.0,0,L,old,loss,9,rare,HH-LL,0.825263157895,16.0,-5.98947368421,21.9554730983,7.0,-5.16421052632,76.1158524016
745,9,S9G4,20,0.10526315789473684,2,H,old,loss,9,rare,HL-LH,1.07315789474,3.0,-6.1252631578,76.3265306122,17.0,-5.0521052631,24.2444856731
746,12,S10G1,66,0.03125,2,L,old,gain,10,rare,HH-LL,0.925789473684,28.0,5.05210526316,24.2444856731,41.0,5.97789473684,71.8645640074
747,12,S10G2,33,0.030303030303030304,1,H,old,gain,10,rare,HL-LH,0.883157894737,23.0,5.13421052632,60.2383013812,31.0,6.01736842105,23.2933415791
748,12,S10G3,31,0.03333333333333333,1,H,old,loss,10,rare,HH-LL,0.715789473684,15.0,-5.90526315789,27.3038548753,7.0,-5.18947368421,77.8738691353
749,12,S10G4,64,0.03225806451612903,2,L,old,loss,10,rare,HL-LH,1.03473684211,2.0,-6.0810526315,77.7126365698,10.0,-5.0463157894,11.3970315399
750,12,S11G1,33,0.06060606060606061,2,L,old,gain,11,rare,HH-LL,0.96,37.0,5.067,24.03,26.0,6.027,60.56
751,12,S11G2,46,0.0,0,H,old,gain,11,rare,HL-LH,1.15052631579,24.0,4.80842105263,74.4423830138,38.0,5.95894736842,25.8979591837
752,12,S11G3,41,0.025,1,L,old,loss,11,rare,HH-LL,0.948947368421,16.0,-5.83578947368,14.4281591424,7.0,-4.88684210526,74.788975384
753,12,S11G4,34,0.058823529411764705,2,H,old,loss,11,rare,HL-LH,0.827368421053,3.0,-5.97789473684,71.8645640074,16.0,-5.15052631579,10.7217068646
754,12,S12G1,266,0.03435114503816794,9,L,old,gain,12,rare,HH-LL,0.964210526316,30.0,5.0,14.4794887652,27.0,5.96421052632,79.530818388
755,12,S12G3,66,0.0,0,H,old,loss,12,rare,HH-LL,1.16,4.0,-6.08,16.59,8.0,-4.92,69.29
756,12,S12G4,161,0.04430379746835443,7,H,old,loss,12,rare,HL-LH,1.01105263158,1.0,-5.9289473684,66.0467073427,20.0,-4.9178947368,16.9235209235
757,12,S13G1,65,0.03125,2,L,old,gain,13,rare,HH-LL,0.815789473684,40.0,5.09473684211,10.8998144712,27.0,5.91052631579,79.5859457185
758,12,S13G2,77,0.02631578947368421,2,H,old,gain,13,rare,HL-LH,1.06210526316,27.0,4.83052631579,61.6334776335,31.0,5.89263157895,19.3951762523
759,12,S13G3,37,0.05405405405405406,2,L,old,loss,13,rare,HH-LL,0.957894736842,19.0,-6.04736842105,12.618556701,2.0,-5.08947368421,66.6593730276
760,12,S13G4,73,0.013888888888888888,1,H,old,loss,13,rare,HL-LH,1.05210526316,14.0,-5.99,64.8091115234,21.0,-4.9378947368,29.3341579056
761,12,S14G1,30,0.06666666666666667,2,H,old,gain,14,rare,HH-LL,1.05684210526,43.0,5.13789473684,19.6198721913,26.0,6.19473684211,62.2593279736
762,12,S14G2,31,0.0,0,H,old,gain,14,rare,HL-LH,0.992631578947,24.0,5.16421052632,76.1158524016,43.0,6.15684210526,29.6400742115
763,12,S14G3,31,0.0,0,H,old,loss,14,rare,HH-LL,1.10526315789,19.0,-6.0347368421,10.2857142857,7.0,-4.9294736842,74.4423830138
764,12,S14G4,31,0.03225806451612903,1,H,old,loss,14,rare,HL-LH,1.07526315789,14.0,-5.9457894736,67.270459699,22.0,-4.8705263157,23.8014842301
765,12,S15G1,31,0.06451612903225806,2,H,old,gain,15,rare,HH-LL,0.921578947368,30.0,4.91789473684,16.9235209235,23.0,5.83947368421,65.5710162853
766,12,S15G2,32,0.06451612903225806,2,H,old,gain,15,rare,HL-LH,1.03052631579,24.0,4.92947368421,74.4423830138,35.0,5.96,10.7342815914
767,12,S15G3,32,0.03125,1,H,old,loss,15,rare,HH-LL,0.908421052632,16.0,-6.05789473684,22.0867862296,2.0,-5.14947368421,65.5815295815
768,12,S15G4,31,0.03333333333333333,1,L,old,loss,15,rare,HL-LH,0.923684210526,3.0,-5.82052631579,78.5029890744,22.0,-4.89684210526,24.5104102247
769,12,S16G1,30,0.0,0,H,old,gain,16,rare,HH-LL,0.709473684211,45.0,5.15789473684,18.882704597,41.0,5.86736842105,67.3562152134
