,gid,domain,pairtype,ev_diff,L_id,L_x1,L_x2,L_x3,L_p1,L_p2,L_p3,L_ev,L_ev_var,H_id,H_x1,H_x2,H_x3,H_p1,H_p2,H_p3,H_ev,H_ev_var,prop_H_all,prop_H_all_old,prop_H_all_yng,prop_H_g1,prop_H_g1_old,prop_H_g1_yng,prop_H_g2,prop_H_g2_old,prop_H_g2_yng,ss_all,ss_all_old,ss_all_yng,ss_med_all,ss_med_old,ss_med_yng,ss_g1,ss_g1_old,ss_g1_yng,ss_g2,ss_g2_old,ss_g2_yng,sf_all,sf_all_old,sf_all_yng,sf_g1,sf_g1_old,sf_g1_yng,sf_g2,sf_g2_old,sf_g2_yng
39,S8G3,loss,HH-LL,0.807368421053,22.0,-8.0,-11.0,0.0,0.47,0.2,0.33,-5.96,18.9478787879,2.0,-2.0,-24.0,0.0,0.65,0.160526315789,0.189473684211,-5.15263157895,70.0727961288,0.757142857143,0.742857142857,0.771428571429,0.714285714286,0.714285714286,0.714285714286,0.767857142857,0.75,0.785714285714,26.9285714286,24.1714285714,29.6857142857,18.5,16.0,24.0,15.3571428571,14.1428571429,16.5714285714,29.8214285714,26.6785714286,32.9642857143,0.251348680003,0.257578733244,0.245118626762,0.905612244898,1.0,0.811224489796,0.087782788779,0.071973416555,0.103592161004
20,S9G3,loss,HH-LL,0.825263157895,16.0,-5.0,-13.0,0.0,0.5,0.268421052632,0.231578947368,-5.98947368421,21.9554730983,7.0,-1.0,-23.0,0.0,0.77,0.191052631579,0.038947368421,-5.16421052632,76.1158524016,0.608695652174,0.470588235294,0.742857142857,0.642857142857,0.428571428571,0.857142857143,0.6,0.481481481481,0.714285714286,23.0428571429,20.5428571429,25.5428571429,19.0,16.0,19.0,12.9285714286,14.2857142857,11.5714285714,25.5714285714,22.1071428571,29.0357142857,0.234310524928,0.277343752766,0.19127729709,0.814012303486,1.0,0.628024606972,0.089385080288,0.096679690957,0.082090469619
73,S1G3,loss,HH-LL,0.825263157895,16.0,-5.0,-13.0,0.0,0.56,0.237894736842,0.202105263158,-5.89263157895,19.3951762523,8.0,0.0,-22.0,-18.0,0.74,0.096842105263,0.163157894737,-5.06736842105,73.0018552876,0.63768115942,0.588235294118,0.685714285714,0.846153846154,1.0,0.714285714286,0.589285714286,0.5,0.678571428571,29.5571428571,28.4,30.7142857143,20.0,19.0,20.0,19.7142857143,18.4285714286,21.0,32.0178571429,30.8928571429,33.1428571429,0.24521383898,0.246660134587,0.243767543373,0.947102496913,0.987394957983,0.906810035842,0.069741674497,0.061476428738,0.078006920255
26,S17G3,loss,HH-LL,0.840526315789,19.0,-6.0,-12.0,0.0,0.53,0.229473684211,0.240526315789,-5.93368421053,16.8831168831,14.0,0.0,-1.0,-18.0,0.47,0.261578947368,0.268421052632,-5.09315789474,61.0713254999,0.602941176471,0.571428571429,0.636363636364,0.357142857143,0.285714285714,0.428571428571,0.666666666667,0.642857142857,0.692307692308,27.9142857143,27.0857142857,28.7428571429,19.5,15.0,20.0,14.9285714286,17.5714285714,12.2857142857,31.1607142857,29.4642857143,32.8571428571,0.242044151616,0.253776972484,0.229966247781,0.916326530612,1.0,0.832653061224,0.070408636962,0.067221215605,0.073714110962
48,S2G3,loss,HH-LL,0.845263157895,19.0,-6.0,-12.0,0.0,0.53,0.236842105263,0.233157894737,-6.02210526316,16.8979591837,7.0,-1.0,-23.0,0.0,0.71,0.194210526316,0.095789473684,-5.17684210526,76.6866625438,0.628571428571,0.542857142857,0.714285714286,0.642857142857,0.714285714286,0.571428571429,0.625,0.5,0.75,29.0428571429,29.4571428571,28.6285714286,21.0,20.0,24.0,17.0,20.1428571429,13.8571428571,32.0535714286,31.7857142857,32.3214285714,0.258264679726,0.284395579465,0.232133779986,0.872959183673,0.985714285714,0.760204081633,0.104591053739,0.109065902903,0.100116204574
34,S15G3,loss,HH-LL,0.908421052632,16.0,-5.0,-13.0,0.0,0.5,0.273684210526,0.226315789474,-6.05789473684,22.0867862296,2.0,-2.0,-24.0,0.0,0.68,0.157894736842,0.162105263158,-5.14947368421,65.5815295815,0.636363636364,0.515151515152,0.757575757576,0.384615384615,0.333333333333,0.428571428571,0.698113207547,0.555555555556,0.846153846154,24.2714285714,21.8857142857,26.6571428571,20.0,18.0,21.0,16.0,16.0,16.0,26.3392857143,23.3571428571,29.3214285714,0.246840049905,0.258627137995,0.235052961814,0.916541353383,1.0,0.833082706767,0.079414724035,0.073283922494,0.085545525576
5,S20G3,loss,HH-LL,0.942105263158,19.0,-6.0,-12.0,0.0,0.56,0.204210526316,0.235789473684,-5.81052631579,15.7625231911,8.0,0.0,-22.0,-18.0,0.77,0.182105263158,0.047894736842,-4.86842105263,79.547309833,0.603174603175,0.516129032258,0.6875,0.5,0.428571428571,0.571428571429,0.632653061224,0.541666666667,0.72,25.6285714286,21.7142857143,29.5428571429,17.0,16.0,20.0,17.4285714286,19.4285714286,15.4285714286,27.6785714286,22.2857142857,33.0714285714,0.258267199681,0.268355840308,0.248789991819,0.930146186827,0.956588669951,0.903703703704,0.070141083279,0.067621264995,0.072467069388
7,S11G3,loss,HH-LL,0.948947368421,16.0,-5.0,-13.0,0.0,0.68,0.187368421053,0.132631578947,-5.83578947368,14.4281591424,7.0,-1.0,-23.0,0.0,0.65,0.184210526316,0.165789473684,-4.88684210526,74.788975384,0.666666666667,0.628571428571,0.705882352941,0.615384615385,0.714285714286,0.5,0.678571428571,0.607142857143,0.75,27.0571428571,25.7142857143,28.4,19.0,17.0,20.0,17.6428571429,20.1428571429,15.1428571429,29.4107142857,27.1071428571,31.7142857143,0.241478052895,0.260924498998,0.222031606791,0.786127645503,0.995535714286,0.57671957672,0.105315654743,0.077271695176,0.133359614309
22,S13G3,loss,HH-LL,0.957894736842,19.0,-6.0,-12.0,0.0,0.65,0.178947368421,0.171052631579,-6.04736842105,12.618556701,2.0,-2.0,-24.0,0.0,0.65,0.157894736842,0.192105263158,-5.08947368421,66.6593730276,0.768115942029,0.714285714286,0.823529411765,0.571428571429,0.571428571429,0.571428571429,0.818181818182,0.75,0.888888888889,24.4571428571,21.6857142857,27.2285714286,17.5,17.0,20.0,18.3571428571,15.8571428571,20.8571428571,25.9821428571,23.1428571429,28.8214285714,0.272335989964,0.319450514389,0.225221465539,0.800540377441,0.91156462585,0.689516129032,0.140284893094,0.171421986523,0.109147799666
64,S4G3,loss,HH-LL,0.981052631579,10.0,-5.0,-1.0,-18.0,0.68,0.178947368421,0.141052631579,-6.11789473684,25.5788497217,2.0,-2.0,-24.0,0.0,0.8,0.147368421053,0.052631578947,-5.13684210526,60.1937744795,0.647058823529,0.676470588235,0.617647058824,0.615384615385,0.833333333333,0.428571428571,0.654545454545,0.642857142857,0.666666666667,29.7857142857,27.9142857143,31.6571428571,24.0,22.0,25.0,19.7142857143,20.7142857143,18.7142857143,32.3035714286,29.7142857143,34.8928571429,0.24335118453,0.257089725152,0.229612643909,0.860870610871,0.873015873016,0.848725348725,0.088971327945,0.103108188186,0.074834467704
