"subject" "problem" "choice"
"1" 1 1 0
"2" 2 1 0
"3" 3 1 1
"4" 4 1 0
"5" 5 1 1
"6" 6 1 1
"7" 7 1 0
"8" 8 1 0
"9" 9 1 0
"10" 10 1 1
"11" 11 1 1
"12" 12 1 1
"13" 13 1 0
"14" 14 1 0
"15" 15 1 1
"16" 16 1 0
"17" 17 1 0
"18" 18 1 0
"19" 19 1 0
"20" 20 1 0
"21" 21 1 0
"22" 22 1 0
"23" 23 1 1
"24" 24 1 0
"25" 25 1 0
"26" 26 1 1
"27" 27 1 0
"28" 28 1 1
"29" 29 1 1
"30" 30 1 0
"31" 31 1 1
"32" 32 1 0
"33" 33 1 0
"34" 34 1 1
"35" 35 1 1
"36" 36 1 1
"37" 37 1 0
"38" 38 1 1
"39" 39 1 1
"40" 1 2 0
"41" 2 2 0
"42" 3 2 1
"43" 4 2 0
"44" 5 2 1
"45" 6 2 0
"46" 7 2 0
"47" 8 2 0
"48" 9 2 0
"49" 10 2 1
"50" 11 2 0
"51" 12 2 0
"52" 13 2 1
"53" 14 2 0
"54" 15 2 1
"55" 16 2 0
"56" 17 2 1
"57" 18 2 0
"58" 19 2 1
"59" 20 2 0
"60" 21 2 1
"61" 22 2 1
"62" 23 2 0
"63" 24 2 1
"64" 25 2 1
"65" 26 2 1
"66" 27 2 1
"67" 28 2 1
"68" 29 2 1
"69" 30 2 0
"70" 31 2 0
"71" 32 2 1
"72" 33 2 1
"73" 34 2 0
"74" 35 2 0
"75" 36 2 0
"76" 37 2 0
"77" 38 2 1
"78" 39 2 1
"79" 1 3 1
"80" 2 3 1
"81" 3 3 0
"82" 4 3 0
"83" 5 3 1
"84" 6 3 1
"85" 7 3 1
"86" 8 3 1
"87" 9 3 0
"88" 10 3 1
"89" 11 3 1
"90" 12 3 1
"91" 13 3 1
"92" 14 3 1
"93" 15 3 0
"94" 16 3 1
"95" 17 3 1
"96" 18 3 1
"97" 19 3 1
"98" 20 3 1
"99" 21 3 0
"100" 22 3 1
"101" 23 3 0
"102" 24 3 0
"103" 25 3 1
"104" 26 3 0
"105" 27 3 1
"106" 28 3 0
"107" 29 3 0
"108" 30 3 1
"109" 31 3 0
"110" 32 3 1
"111" 33 3 1
"112" 34 3 1
"113" 35 3 0
"114" 36 3 0
"115" 37 3 1
"116" 38 3 0
"117" 39 3 1
"118" 1 4 0
"119" 2 4 0
"120" 3 4 1
"121" 4 4 0
"122" 5 4 1
"123" 6 4 0
"124" 7 4 1
"125" 8 4 0
"126" 9 4 1
"127" 10 4 1
"128" 11 4 0
"129" 12 4 1
"130" 13 4 1
"131" 14 4 1
"132" 15 4 1
"133" 16 4 0
"134" 17 4 1
"135" 18 4 1
"136" 19 4 1
"137" 20 4 1
"138" 21 4 0
"139" 22 4 1
"140" 23 4 0
"141" 24 4 0
"142" 25 4 1
"143" 26 4 1
"144" 27 4 0
"145" 28 4 0
"146" 29 4 1
"147" 30 4 0
"148" 31 4 1
"149" 32 4 1
"150" 33 4 1
"151" 34 4 1
"152" 35 4 0
"153" 36 4 1
"154" 37 4 1
"155" 38 4 1
"156" 39 4 1
"157" 1 5 1
"158" 2 5 1
"159" 3 5 1
"160" 4 5 0
"161" 5 5 1
"162" 6 5 0
"163" 7 5 1
"164" 8 5 1
"165" 9 5 1
"166" 10 5 1
"167" 11 5 1
"168" 12 5 1
"169" 13 5 0
"170" 14 5 1
"171" 15 5 1
"172" 16 5 1
"173" 17 5 1
"174" 18 5 0
"175" 19 5 1
"176" 20 5 0
"177" 21 5 1
"178" 22 5 0
"179" 23 5 0
"180" 24 5 1
"181" 25 5 0
"182" 26 5 1
"183" 27 5 1
"184" 28 5 0
"185" 29 5 1
"186" 30 5 0
"187" 31 5 0
"188" 32 5 1
"189" 33 5 1
"190" 34 5 1
"191" 35 5 0
"192" 36 5 0
"193" 37 5 1
"194" 38 5 0
"195" 39 5 1
"196" 1 6 0
"197" 2 6 1
"198" 3 6 0
"199" 4 6 1
"200" 5 6 0
"201" 6 6 1
"202" 7 6 1
"203" 8 6 0
"204" 9 6 1
"205" 10 6 0
"206" 11 6 0
"207" 12 6 1
"208" 13 6 1
"209" 14 6 0
"210" 15 6 0
"211" 16 6 0
"212" 17 6 1
"213" 18 6 0
"214" 19 6 1
"215" 20 6 1
"216" 21 6 1
"217" 22 6 1
"218" 23 6 1
"219" 24 6 1
"220" 25 6 0
"221" 26 6 1
"222" 27 6 1
"223" 28 6 0
"224" 29 6 1
"225" 30 6 1
"226" 31 6 1
"227" 32 6 1
"228" 33 6 0
"229" 34 6 0
"230" 35 6 1
"231" 36 6 0
"232" 37 6 0
"233" 38 6 0
"234" 39 6 0
