"subject" "problem" "choice"
"1" 1 3 1
"2" 1 6 1
"3" 1 5 1
"4" 1 2 0
"5" 1 4 0
"6" 1 1 1
"7" 2 4 0
"8" 2 5 1
"9" 2 2 1
"10" 2 1 1
"11" 2 3 1
"12" 2 6 0
"13" 3 5 1
"14" 3 2 0
"15" 3 4 0
"16" 4 2 0
"17" 4 4 1
"18" 4 5 0
"19" 4 6 0
"20" 4 3 1
"21" 5 6 1
"22" 5 2 0
"23" 5 5 1
"24" 5 4 0
"25" 5 3 1
"26" 6 2 1
"27" 6 4 0
"28" 6 6 1
"29" 6 5 1
"30" 6 3 1
"31" 6 1 0
"32" 7 4 1
"33" 7 5 1
"34" 7 3 1
"35" 7 2 0
"36" 7 1 0
"37" 7 6 1
"38" 8 4 1
"39" 8 1 1
"40" 8 2 0
"41" 8 3 1
"42" 8 5 1
"43" 8 6 0
"44" 9 5 1
"45" 9 4 0
"46" 9 1 0
"47" 9 6 0
"48" 10 3 1
"49" 10 6 0
"50" 10 4 0
"51" 10 2 1
"52" 10 1 0
"53" 11 1 0
"54" 11 4 1
"55" 11 2 0
"56" 11 5 1
"57" 11 6 1
"58" 11 3 1
"59" 12 5 1
"60" 12 4 1
"61" 12 6 1
"62" 12 1 0
"63" 12 2 0
"64" 13 3 0
"65" 13 6 1
"66" 13 1 1
"67" 13 4 0
"68" 13 5 1
"69" 14 4 1
"70" 14 1 0
"71" 14 6 1
"72" 14 5 0
"73" 14 2 1
"74" 14 3 1
"75" 15 2 0
"76" 15 6 1
"77" 15 4 1
"78" 15 1 1
"79" 15 5 0
"80" 16 4 0
"81" 16 5 1
"82" 16 1 0
"83" 16 6 1
"84" 16 2 0
"85" 16 3 1
"86" 17 2 0
"87" 17 6 1
"88" 17 5 1
"89" 17 4 1
"90" 17 3 1
"91" 17 1 1
"92" 18 1 0
"93" 18 3 1
"94" 18 2 1
"95" 18 6 1
"96" 18 4 1
"97" 18 5 1
"98" 19 1 0
"99" 19 6 1
"100" 19 5 0
"101" 19 2 0
"102" 19 4 1
"103" 19 3 1
"104" 20 1 0
"105" 20 2 1
"106" 20 6 1
"107" 20 3 1
"108" 20 5 1
"109" 20 4 1
"110" 21 6 1
"111" 21 4 1
"112" 21 1 0
"113" 21 2 0
"114" 21 3 1
"115" 21 5 0
"116" 22 2 1
"117" 22 4 0
"118" 22 6 1
"119" 22 5 1
"120" 22 1 1
"121" 22 3 1
"122" 23 1 0
"123" 23 2 0
"124" 23 5 0
"125" 23 3 1
"126" 23 6 1
"127" 23 4 1
"128" 24 3 0
"129" 25 6 1
"130" 25 5 1
"131" 25 2 1
"132" 25 4 0
"133" 25 1 0
"134" 25 3 0
"135" 26 1 0
"136" 26 2 1
"137" 26 5 1
"138" 26 3 0
"139" 26 4 1
"140" 26 6 1
"141" 27 1 0
"142" 27 6 1
"143" 27 4 0
"144" 27 2 0
"145" 27 3 1
"146" 27 5 1
"147" 28 4 1
"148" 28 6 0
"149" 28 1 1
"150" 28 5 1
"151" 28 2 1
"152" 28 3 1
"153" 29 6 1
"154" 29 2 1
"155" 29 4 1
"156" 29 5 1
"157" 29 1 1
"158" 29 3 1
"159" 30 3 1
"160" 30 4 1
"161" 30 1 1
"162" 30 6 1
"163" 30 5 1
"164" 30 2 1
"165" 31 2 1
"166" 31 5 1
"167" 31 1 1
"168" 31 6 1
"169" 31 3 1
"170" 31 4 0
"171" 32 4 0
"172" 32 1 0
"173" 32 6 1
"174" 32 2 1
"175" 32 3 1
"176" 32 5 1
"177" 33 6 1
"178" 33 3 1
"179" 33 5 1
"180" 33 4 1
"181" 33 2 0
"182" 33 1 1
"183" 34 5 1
"184" 34 6 1
"185" 35 3 1
"186" 35 4 1
"187" 35 5 1
"188" 35 2 1
"189" 35 1 0
"190" 35 6 1
"191" 36 2 0
"192" 36 1 1
"193" 36 3 1
"194" 36 4 1
"195" 36 5 1
"196" 36 6 0
"197" 37 1 0
"198" 37 2 1
"199" 37 3 1
"200" 37 6 1
"201" 37 5 1
"202" 38 2 0
"203" 38 6 0
"204" 38 4 1
"205" 38 5 1
"206" 38 1 1
"207" 38 3 1
"208" 39 5 1
"209" 39 1 0
"210" 39 2 0
"211" 39 3 1
"212" 39 6 1
"213" 40 6 0
"214" 40 1 0
"215" 40 3 1
"216" 40 5 1
"217" 40 4 0
"218" 40 2 1
"219" 41 3 1
"220" 41 1 0
"221" 41 5 1
"222" 41 6 0
"223" 41 2 0
"224" 41 4 0
"225" 42 4 0
"226" 42 6 0
"227" 42 2 0
"228" 42 1 0
"229" 42 3 1
"230" 42 5 1
